SD_SCHUL_CODE,SCHUL_NM,subject_count,subjects
7003982,전북대학교사범대학부설고등학교,65,[보강]기하|[보강]문학|[보강]지구과학Ⅱ|[보강]한국사|[보강]확률과 통계|고급 생명과학|고전과 윤리|공통국어1|공통수학1|공통영어1|과학탐구실험1|교육학|기하|독서|동아리활동|문장론|문학|물리학 실험|물리학Ⅰ|물리학Ⅱ|미술|미술 창작|미적분|봉사활동|사회 탐구 방법|사회·문화|사회문제 탐구|생명과학Ⅰ|생명과학Ⅱ|생활과 과학|생활과 윤리|세계 문제와 미래 사회|세계사|세계지리|수학Ⅰ|스포츠 생활|실용 수학|실용 영어|심화 국어|여행지리|영어 독해와 작문|영어Ⅰ|영어권 문화|운동과 건강|윤리와 사상|음악|음악 감상과 비평|인공지능 기초|자율·자치활동|자율활동|지구과학Ⅰ|지구과학Ⅱ|진로활동|체육1|통합과학1|통합사회1|한국사|한국사1|한국지리|현대 세계의 변화|화학 실험|화학Ⅰ|화학Ⅱ|확률과 통계|환경
7004180,경북대학교사범대학부설고등학교,87,IB 경제 HL Ⅰ|IB 경제 SL Ⅰ|IB 물리 HL Ⅰ|IB 물리 HL Ⅲ|IB 물리 SL Ⅲ|IB 생명과학 HL Ⅰ|IB 생명과학 HL Ⅲ|IB 생명과학 SL Ⅰ|IB 생명과학 SL Ⅲ|IB 수학 분석과 접근 HL Ⅰ|IB 수학 분석과 접근 HLⅢ|IB 수학 분석과 접근 SL Ⅰ|IB 수학 분석과 접근 SLⅢ|IB 언어와 문학 HL 1|IB 언어와 문학 HL 3|IB 역사 HL Ⅰ|IB 역사 HL Ⅲ|IB 역사 SL Ⅰ|IB 역사 SL Ⅲ|IB 영어 HL 1|IB 영어 HL 3|IB 영어 SL 1|IB 영어 SL 3|IB 영어 연극이론과 창작 SL Ⅲ|IB 영어 연극이론과 창작 SLⅠ|IB 지식이론 Ⅰ|IB 지식이론 Ⅱ|IB 지식이론 Ⅲ|IB 화학 HL Ⅲ|IB 화학 SL Ⅰ|IB 화학 SL Ⅲ|[보강]물리학Ⅰ|경제 수학|공통국어1|공통수학1|공통영어1|공학 일반|과학과제 연구|과학탐구실험1|기술·가정|기하|논술|독일어 회화Ⅰ|동아시아사|문학|물리학Ⅰ|물리학Ⅱ|미술|미술 감상과 비평|미술 창작|사회 과제 연구|사회 탐구 방법|사회·문화|생명과학Ⅰ|생명과학Ⅱ|생활과 과학|생활과 윤리|세계지리|수학Ⅰ|수학Ⅱ|심화 국어|심화 수학Ⅰ|심화 영어Ⅰ|언어와 매체|영어Ⅰ|영어Ⅱ|운동과 건강|윤리와 사상|음악|음악 감상과 비평|음악 연주|자율·자치활동|자율활동|정보|정치와 법|지구과학Ⅰ|지구과학Ⅱ|진로활동|창의융합과제연구|체육1|통합과학1|통합사회1|한국사|한국사1|화법과 작문|화학Ⅰ|화학Ⅱ
7004207,강원대학교사범대학부설고등학교,71,[보강]스포츠 생활|[보강]지구과학Ⅰ|[보강]화법과 작문|가정과학|경제|고전 읽기|공통국어1|공통수학1|공통영어1|공학 일반|과학탐구실험1|기하|논술|독서|동아시아사|물리학Ⅰ|물리학Ⅱ|미술|미적분|보건|사회·문화|생명과학Ⅰ|생명과학Ⅱ|생활과 과학|생활과 윤리|세계사|세계지리|수학Ⅰ|수학과제 탐구|스포츠 경기 체력|스포츠 생활|심화 국어|심화 영어 독해Ⅰ|언어와 매체|여행지리|영어 독해와 작문|영어 회화|영어Ⅰ|영어권 문화|운동과 건강|윤리와 사상|음악|음악 감상과 비평|인공지능 기초|일본어Ⅰ|일본어Ⅱ|자율·자치활동|자율활동|정보|정치와 법|중국어Ⅰ|중국어Ⅱ|지구과학Ⅰ|지구과학Ⅱ|진로와 직업|진로활동|체육 전공 실기 기초|체육 전공 실기 심화|체육1|통합과학1|통합사회1|프로그래밍(PYTHON)|한국사1|한국지리|한문Ⅰ|한문Ⅱ|화법과 작문|화학Ⅰ|화학Ⅱ|확률과 통계|환경
7005103,부산대학교사범대학부설고등학교,64,가정과학|경제 수학|고전과 윤리|공통국어1|공통수학1|공통영어1|공학 일반|과학과제 연구|과학탐구실험1|교육학|국어 과제연구|기하|동아리활동|문학|물리학Ⅰ|물리학Ⅱ|미술|미술 이론|미술 창작|보건|빅데이터 분석|사회 과제 연구|사회·문화|생명과학Ⅰ|생명과학Ⅱ|생활과 윤리|세계사|세계지리|수학Ⅰ|수학Ⅱ|스포츠 생활|심리학|심화 국어|심화 수학Ⅰ|심화 영어Ⅰ|영어Ⅰ|영어권 문화|운동과 건강|웹프로그래밍|음악|음악 감상과 비평|음악 연주|일본어 독해와 작문Ⅰ|일본어Ⅱ|자율·자치활동|자율활동|정치와 법|중국어 독해와 작문Ⅰ|중국어Ⅱ|지구과학Ⅰ|지구과학Ⅱ|진로와 직업|진로활동|체육1|통합과학1|통합사회1|프랑스어Ⅱ|프로그래밍|한국사|한국사1|한국지리|현대문학 감상|화학Ⅱ|확률과 통계
7010057,가락고등학교,195,[보강]미적분C|개인·대인 운동E|개인·대인 운동G|개인·대인 운동I|개인·대인 운동J|경제 수학D|경제B|고전 읽기B|고전 읽기C|고전과 윤리G|고전과 윤리I|공통국어1|공통수학1|공통영어1|과학과제 연구E|과학과제 연구H|과학탐구실험1|기하A|기하B|기하C|논술E|논술G|논술J|단체 운동A|단체 운동E|단체 운동H|단체 운동I|동아시아사D|동아시아사H|문학|물리학ⅠC|물리학ⅠD|물리학ⅡA|미술|미술 감상과 비평|미술 감상과 비평F|미술 감상과 비평H|미술 감상과 비평J|미적분C|미적분D|미적분F|사회·문화A|사회·문화B|사회·문화C|사회·문화D|사회·문화H|사회·문화J|사회문제 탐구A|사회문제 탐구B|사회문제 탐구C|사회문제 탐구D5|사회문제 탐구D6|생명과학ⅠA|생명과학ⅠB|생명과학ⅠC|생명과학ⅠD|생명과학ⅡC|생명과학ⅡE|생명과학ⅡH|생활과 과학A|생활과 과학B|생활과 과학C|생활과 과학D|생활과 과학F|생활과 과학I|생활과 과학J|생활과 윤리A|생활과 윤리C|생활과 윤리D|생활과 윤리E|생활과 윤리F|생활과 윤리J|세계사C|세계사D|세계지리A|세계지리B|세계지리C|수학Ⅰ|수학과제 탐구B|수학과제 탐구H|스포츠 생활|심화 국어A|심화 국어B|심화 국어C|심화 국어D|언어와 매체B|언어와 매체C|언어와 매체I|여행지리A|여행지리B|여행지리D|여행지리E|여행지리G|여행지리I|여행지리J|영미 문학 읽기E|영미 문학 읽기F|영미 문학 읽기G|영미 문학 읽기I|영어 독해와 작문A|영어 독해와 작문B|영어 독해와 작문D|영어 독해와 작문F|영어 독해와 작문G|영어 독해와 작문H|영어 독해와 작문I|영어 독해와 작문J|영어Ⅰ|윤리와 사상A|윤리와 사상B|윤리와 사상C5|윤리와 사상C6|윤리와 사상D|음악|음악 감상과 비평A|음악 감상과 비평B|음악 감상과 비평C|음악 감상과 비평E|음악 감상과 비평F|음악 감상과 비평G|음악 감상과 비평H|일본어Ⅰ|일본어ⅡA|일본어ⅡC|일본어ⅡF|일본어ⅡH|자율·자치활동|자율활동|자율활동A10|자율활동B10|자율활동C10|자율활동E|자율활동F10|자율활동F9|자율활동G10|자율활동H10|자율활동H11|자율활동J10|정보|정치와 법A|중국어Ⅰ|지구과학ⅠB|지구과학ⅠD|지구과학ⅡH|진로 영어A|진로 영어B|진로 영어D|진로활동|진로활동A|진로활동B|진로활동C|진로활동E1|진로활동E2|진로활동G|진로활동H|진로활동I|진로활동J|체육 탐구|체육 탐구B|체육 탐구C|체육1|통합과학1|통합사회1|한국사1|한국지리F|한국지리G|한문|한문ⅡE|한문ⅡJ|현대문학 감상B|현대문학 감상E|현대문학 감상F|현대문학 감상J|화법과 작문A|화법과 작문C|화법과 작문D|화법과 작문G|화법과 작문H|화법과 작문I|화법과 작문J|화학ⅠA|화학ⅠB|화학ⅠC|화학ⅡG|화학ⅡI|확률과 통계A|확률과 통계D|확률과 통계E|확률과 통계F|확률과 통계G|확률과 통계J|환경|환경B|환경F|환경H
7010058,개포고등학교,59,[보강]인공지능 기초|경제 수학|고전 읽기|공통국어1|공통수학1|공통영어1|과학탐구실험1|기하|논술|동아리활동|동아시아사|문학|물리학Ⅰ|물리학Ⅱ|미술|미술 감상과 비평|미술 창작|미적분|보건|사회·문화|사회문제 탐구|생명과학Ⅰ|생명과학Ⅱ|생활과 과학|생활과 윤리|세계사|세계지리|수학Ⅰ|스포츠 생활|심리학|언어와 매체|여행지리|영미 문학 읽기|영어 독해와 작문|영어Ⅰ|영어권 문화|운동과 건강|윤리와 사상|음악|음악 감상과 비평|인공지능 기초|일본어Ⅰ|자율활동|정치와 법|지구과학Ⅰ|지구과학Ⅱ|진로활동|체육 탐구|체육1|통합과학1|통합사회1|프랑스어Ⅰ|한국사1|한국지리|화법과 작문|화학Ⅰ|화학Ⅱ|확률과 통계|환경
7010059,경기고등학교,74,[보강]과학사|[보강]생명과학Ⅱ|[보강]생활과 윤리|[보강]수학Ⅰ|[보강]여행지리|[보강]지구과학Ⅱ|[보강]통합사회1|경제|경제 수학|고전과 윤리|공통국어1|공통수학1|공통영어1|과학과제 연구|과학사|과학탐구실험1|기하|논리학|논술|독일어Ⅰ|독일어권 문화|동아시아사|문학|물리학Ⅰ|물리학Ⅱ|미술|미술 감상과 비평|미적분|사회·문화|사회문제 탐구|생명과학Ⅰ|생명과학Ⅱ|생활과 과학|생활과 윤리|세계사|세계지리|수학Ⅰ|수학과제 탐구|스포츠 생활|실용 수학|심화 국어|심화 영어 독해Ⅰ|심화 영어Ⅰ|언어와 매체|여행지리|영어 독해와 작문|영어Ⅰ|영어권 문화|운동과 건강|윤리와 사상|융합과학|음악|음악 감상과 비평|인공지능 수학|자율·자치활동|자율활동|정보과학|정치와 법|중국 문화|중국어Ⅰ|지구과학Ⅰ|지구과학Ⅱ|진로활동|체육 탐구|체육1|통합과학1|통합사회1|프로그래밍|한국사1|한국지리|화법과 작문|화학Ⅰ|화학Ⅱ|확률과 통계
7010060,경기여자고등학교,60,[보강]일본어Ⅰ|[보강]일본어Ⅱ|[보강]확률과 통계|경제|고전 읽기|고전과 윤리|공통국어1|공통수학1|공통영어1|과학탐구실험1|기하|논술|동아시아사|문학|물리학Ⅰ|물리학Ⅱ|미술|미적분|사회·문화|사회문제 탐구|생명과학Ⅰ|생명과학Ⅱ|생활과 과학|생활과 윤리|세계사|세계지리|수학Ⅰ|수학과제 탐구|스페인어Ⅰ|스페인어Ⅱ|심화 영어Ⅰ|언어와 매체|여행지리|영미 문학 읽기|영어 독해와 작문|영어Ⅰ|운동과 건강|윤리와 사상|음악|인공지능 기초|일본어Ⅰ|일본어Ⅱ|자율활동|정치와 법|중국어Ⅰ|중국어Ⅱ|지구과학Ⅰ|지구과학Ⅱ|지식 재산 일반|진로활동|체육|체육1|통합과학1|통합사회1|한국사1|한국지리|화법과 작문|화학Ⅰ|화학Ⅱ|확률과 통계
7010061,경동고등학교,60,경제|공통국어1|공통수학1|공통영어1|과학탐구실험1|기하|독서|동아리활동|동아시아사|문학|물리학Ⅰ|물리학Ⅱ|미술|미술 감상과 비평|미술 전공 실기|미적분|사회·문화|생명과학Ⅰ|생명과학Ⅱ|생활과 과학|생활과 윤리|세계사|세계지리|수학Ⅰ|수학과제 탐구|스포츠 생활|실용 수학|실용 영어|심화 국어|여행지리|영어 독해와 작문|영어Ⅰ|운동과 건강|윤리와 사상|음악|음악 감상과 비평|인공지능과 피지컬컴퓨팅|일본어Ⅰ|일본어Ⅱ|자율·자치활동|자율활동|정보와 디지털 문해력|정치와 법|중국어Ⅱ|지구과학Ⅰ|지구과학Ⅱ|진로 영어|진로 키스톤 디자인|진로활동|철학|체육1|체육과 진로 탐구|통합과학1|통합사회1|한국사1|한국지리|화법과 작문|화학Ⅰ|화학Ⅱ|확률과 통계
7010062,경복고등학교,69,경제|고전 읽기|공통국어1|공통수학1|공통영어1|과학과제 연구|과학사|과학탐구실험1|기하|논술|동아리활동|동아시아사|문학|물리학Ⅰ|물리학Ⅱ|미술|미술 전공 실기|미적분|사회·문화|사회문제 탐구|생각을 키우는 퍼즐과 게임|생명과학Ⅰ|생명과학Ⅱ|생활과 윤리|세계사|세계지리|수학Ⅰ|수학과제 탐구|실용 경제|심화 국어|언어와 매체|여행지리|영어 독해와 작문|영어Ⅰ|영어권 문화|운동과 건강|윤리와 사상|음악|음악 감상과 비평|인공지능 수학|일본어Ⅰ|일본어Ⅱ|자율·자치활동|자율활동|정보|정치와 법|중국어Ⅰ|중국어Ⅱ|지구과학Ⅰ|지구과학Ⅱ|진로 영어|진로와 직업|진로활동|철학|체육|체육 전공 실기 기초|체육1|통합과학1|통합사회1|프로그래밍|한국 사회의 이해|한국사1|한국지리|한문|화법과 작문|화학Ⅰ|화학Ⅱ|확률과 통계|환경
