jobCd,jobNm,jobLrclNm,holland_R,holland_I,holland_A,holland_S,holland_E,holland_C,holland_top3
K000001170,안내·접수원,경영·사무·금융·보험직,1.69,2.16,2.38,2.91,2.38,3.05,CSA
K000001183,속기사,경영·사무·금융·보험직,1.91,1.94,2.1,2.24,1.88,2.78,CSA
K000001194,고객상담원,경영·사무·금융·보험직,1.71,2.25,2.22,3.14,2.65,3.13,SCE
K000001219,전산자료입력원 및 사무보조원,경영·사무·금융·보험직,1.52,2.12,2.02,2.32,2.41,2.82,CES
K000007478,비서,경영·사무·금융·보험직,1.54,2.08,2.3,2.71,2.52,3.03,CSE
K000007524,행정사,경영·사무·금융·보험직,1.64,2.18,2.37,2.68,2.64,2.88,CSE
K000000987,자산운용가(펀드매니저),경영·사무·금융·보험직,1.91,2.8,2.5,2.72,3.35,2.96,ECI
K000001163,금융상품개발원,경영·사무·금융·보험직,2.11,2.78,2.72,2.83,3.25,3.04,ECS
K000001168,증권 및 외환 딜러,경영·사무·금융·보험직,1.55,2.32,2.05,2.6,2.86,2.87,CES
K000001179,투자분석가,경영·사무·금융·보험직,1.4,2.42,2.3,2.31,2.74,2.67,ECI
K000001215,신용분석사,경영·사무·금융·보험직,2.04,2.88,2.55,2.96,3.45,3.16,ECS
K000007561,손해사정사,경영·사무·금융·보험직,1.76,2.78,2.6,3.17,3.23,3.05,ESC
K000000908,보험인수심사원(언더라이터),경영·사무·금융·보험직,2.01,2.74,2.47,2.83,3.01,3.02,CES
K000001104,신용추심원(채권관리원),경영·사무·금융·보험직,1.85,2.48,2.55,2.77,2.92,2.93,CES
K000001114,증권 사무원(출납창구제외),경영·사무·금융·보험직,1.4,2.39,2.22,2.57,3.11,2.98,ECS
K000001131,출납 창구 사무원,경영·사무·금융·보험직,1.68,2.38,2.15,2.87,2.81,3.12,CSE
K000001136,은행 사무원(출납창구제외),경영·사무·금융·보험직,1.69,2.48,2.27,2.89,3.27,3.06,ECS
K000001162,보험 심사원 및 사무원,경영·사무·금융·보험직,1.89,2.6,2.53,3.31,3.04,3.07,SCE
K000000977,보험대리인 및 중개인,경영·사무·금융·보험직,2.04,2.85,2.93,3.48,3.63,3.39,ESC
K000001206,보험모집인(보험설계사/FC),경영·사무·금융·보험직,1.61,2.41,2.53,3.47,3.22,3.05,SEC
K000000949,인문과학 연구원,연구직 및 공학 기술직,1.31,2.66,3.0,3.36,2.41,2.68,SAC
K000000825,자연과학 시험원,연구직 및 공학 기술직,2.92,3.39,2.63,2.61,2.72,3.29,ICR
K000000852,생명과학 시험원,연구직 및 공학 기술직,2.34,3.3,2.53,2.57,2.57,2.99,ICS
K000001140,생명과학 연구원,연구직 및 공학 기술직,2.76,3.79,3.12,3.04,2.99,3.44,ICA
K000001157,농림어업 관련 시험원,연구직 및 공학 기술직,2.64,3.27,2.85,2.82,2.95,3.09,ICE
K000000900,통신망운영기술자,연구직 및 공학 기술직,3.28,3.19,2.83,2.81,3.18,3.6,CRI
K000000924,통신기기·장비기술자,연구직 및 공학 기술직,2.78,3.0,2.58,2.51,2.89,3.45,CIE
K000000936,통신기술개발자 ,연구직 및 공학 기술직,2.92,3.3,2.6,2.48,2.72,3.36,CIR
K000000994,컴퓨터 하드웨어 기술자 및 연구원,연구직 및 공학 기술직,3.34,3.36,2.7,2.53,2.85,3.39,CIR
K000000856,컴퓨터시스템설계 및 분석가,연구직 및 공학 기술직,2.64,2.92,2.4,2.37,2.68,3.15,CIE
K000001085,정보통신컨설턴트 및 감리원,연구직 및 공학 기술직,3.02,3.13,3.02,2.9,3.32,3.54,CEI
K000000853,시스템 소프트웨어 개발자(프로그래머),연구직 및 공학 기술직,2.99,3.54,2.73,2.41,2.61,3.42,ICR
K000001042,모바일앱개발자,연구직 및 공학 기술직,2.09,2.54,2.57,2.19,2.28,2.88,CAI
K000001106,웹개발자(웹 프로그래머),연구직 및 공학 기술직,2.25,2.73,2.47,2.21,2.4,3.02,CIA
K000001153,IT테스터 및 IT QA전문가,연구직 및 공학 기술직,2.45,2.77,2.62,2.37,2.6,3.22,CIA
K000001172,웹기획자,연구직 및 공학 기술직,2.37,2.67,2.83,2.53,2.75,3.17,CAE
K000001176,응용소프트웨어개발자,연구직 및 공학 기술직,2.77,3.31,2.73,2.34,2.52,3.22,ICR
K000007452,가상현실전문가,연구직 및 공학 기술직,2.54,3.25,3.08,2.46,2.68,3.02,IAC
K000007580,게임프로그래머,연구직 및 공학 기술직,2.21,3.1,2.78,2.14,2.21,2.91,ICA
K000000968,네트워크시스템개발자(네트워크엔지니어),연구직 및 공학 기술직,2.39,2.72,2.52,2.4,2.62,3.17,CIE
K000000978,IT기술지원전문가,연구직 및 공학 기술직,2.63,2.72,2.7,2.56,2.62,3.27,CIA
K000001061,웹 운영자(홈페이지 관리자),연구직 및 공학 기술직,2.4,2.75,2.62,2.43,2.65,3.24,CIE
K000001080,데이터분석가(빅데이터분석가),연구직 및 공학 기술직,2.35,3.12,2.72,2.56,2.71,3.08,ICA
K000001132,정보 시스템 운영자,연구직 및 공학 기술직,2.71,2.88,2.33,2.38,2.6,3.3,CIR
K000001134,데이터 시스템 전문가,연구직 및 공학 기술직,2.66,3.04,2.72,2.6,2.77,3.25,CIE
K000000832,정보 보안 전문가,연구직 및 공학 기술직,2.53,2.76,2.75,2.67,2.7,3.27,CIA
K000001041,방송송출장비기사,연구직 및 공학 기술직,3.03,2.61,2.55,2.28,2.32,2.86,RCI
K000001074,통신장비기사,연구직 및 공학 기술직,2.87,2.42,1.93,1.93,1.9,2.76,RCI
K000000829,토목안전·환경기술자 및 토목품질기술자,연구직 및 공학 기술직,2.89,3.12,2.57,2.41,2.68,2.97,ICR
K000000878,도시계획·설계가,연구직 및 공학 기술직,2.15,2.78,3.17,2.39,2.84,2.88,ACE
K000000888,지적 및 측량기술자,연구직 및 공학 기술직,2.89,2.88,2.47,2.23,2.62,3.0,CRI
K000000891,교통계획·설계가,연구직 및 공학 기술직,2.61,2.95,2.78,2.36,2.72,2.99,CIA
K000000915,건축감리기술자,연구직 및 공학 기술직,2.81,2.88,2.97,2.62,2.94,3.18,CAE
K000000922,건축설비기술자,연구직 및 공학 기술직,3.2,2.88,2.38,2.34,2.72,3.05,RCI
K000000940,건축시공기술자 및 견적원,연구직 및 공학 기술직,2.9,2.86,2.8,2.47,2.96,3.06,CER
K000000956,건축구조기술자,연구직 및 공학 기술직,3.22,3.33,3.03,2.52,3.04,3.15,IRC
K000000985,조경 기술자,연구직 및 공학 기술직,2.79,2.91,3.25,2.68,2.78,2.93,ACI
K000000992,토목구조설계기술자,연구직 및 공학 기술직,3.04,3.32,2.68,2.11,2.75,3.08,ICR
K000001014,건축가(건축설계사),연구직 및 공학 기술직,2.99,3.1,3.5,2.73,3.05,3.14,ACI
K000001021,공간정보시스템전문가,연구직 및 공학 기술직,2.76,3.21,2.93,2.41,2.9,3.27,CIA
K000001067,토목감리기술자,연구직 및 공학 기술직,3.11,3.03,2.62,2.6,3.12,3.28,CER
K000001073,토목시공기술자 및 견적원,연구직 및 공학 기술직,2.89,2.92,2.58,2.59,3.15,3.14,ECI
K000001120,교통영향평가원,연구직 및 공학 기술직,2.46,2.87,2.45,2.22,2.6,2.83,ICE
K000001142,건축안전·환경기술자 및 건축품질기술자,연구직 및 공학 기술직,3.21,3.24,2.95,3.24,3.22,3.44,CIS
K000001177,건설자재시험원,연구직 및 공학 기술직,2.71,2.79,2.3,2.21,2.25,2.91,CIR
K000000860,로봇공학기술자 및 연구원,연구직 및 공학 기술직,3.14,3.72,3.12,2.29,2.49,3.17,ICR
K000000870,플랜트기계공학기술자,연구직 및 공학 기술직,3.29,3.62,2.8,2.28,2.77,3.14,IRC
K000000877,항공공학기술자,연구직 및 공학 기술직,3.21,3.23,2.62,2.3,2.81,3.25,CIR
K000001082,기계 및 로봇공학 시험원,연구직 및 공학 기술직,3.17,3.18,2.48,2.46,2.61,3.09,IRC
K000001101,조선·해양공학기술자,연구직 및 공학 기술직,2.8,3.05,2.68,2.22,2.65,3.13,CIR
K000001103,건설기계공학기술자 및 연구원,연구직 및 공학 기술직,3.44,3.52,3.07,2.79,3.25,3.46,ICR
K000001185,자동차공학기술자,연구직 및 공학 기술직,3.31,3.34,2.87,2.43,2.95,3.31,IRC
K000000942,금속·재료공학 기술자 및 연구원,연구직 및 공학 기술직,2.78,3.35,2.43,2.36,2.73,3.05,ICR
K000001189,금속 및 재료공학 시험원,연구직 및 공학 기술직,2.49,2.84,1.78,1.72,1.9,2.59,ICR
K000000826,전기기기·제품개발기술자 및 연구원,연구직 및 공학 기술직,3.02,3.18,2.6,2.34,2.67,3.16,ICR
K000000840,송·배전설비기술자,연구직 및 공학 기술직,3.09,3.09,2.38,2.33,2.68,2.98,RIC
K000000876,전기감리기술자,연구직 및 공학 기술직,3.02,2.85,2.3,2.52,2.7,3.02,RCI
K000000879,디스플레이연구 및 개발자,연구직 및 공학 기술직,2.67,3.14,2.48,2.31,2.62,3.07,ICR
K000000975,발전설비기술자,연구직 및 공학 기술직,3.05,3.05,2.32,2.32,2.53,3.03,RIC
K000000984,전자제품 및 부품 개발기술자,연구직 및 공학 기술직,2.8,3.14,2.52,2.18,2.43,2.92,ICR
K000001184,반도체공학 기술자 및 연구원,연구직 및 공학 기술직,2.89,3.21,2.53,2.37,2.55,3.03,ICR
K000001191,전자계측제어기술자,연구직 및 공학 기술직,2.72,3.16,2.5,2.24,2.49,3.07,ICR
K000001202,"전기계측제어기술자(전기패널, 계장, 공정자동화전기 등)",연구직 및 공학 기술직,3.01,3.17,2.4,2.27,2.48,3.07,ICR
K000001205,전기 및 전자공학 시험원,연구직 및 공학 기술직,2.97,2.8,2.08,2.27,2.22,3.0,CRI
K000007491,전기안전기술자,연구직 및 공학 기술직,2.92,2.65,2.25,2.41,2.45,2.93,CRI
K000000865,석유화학공학기술자 및 연구원,연구직 및 공학 기술직,3.04,3.28,2.47,2.36,2.79,3.0,IRC
K000000934,화학공학 시험원,연구직 및 공학 기술직,2.74,3.19,2.1,2.09,2.24,2.92,ICR
K000000946,도료 및 농약품 화학공학기술자 및 연구원,연구직 및 공학 기술직,2.56,3.12,2.23,2.31,2.61,2.99,ICE
K000000998,의약품공학기술자 및 연구원,연구직 및 공학 기술직,2.62,3.45,2.5,2.72,2.82,3.11,ICE
K000001141,비누 및 화장품 화학공학기술자 및 연구원,연구직 및 공학 기술직,2.69,3.19,2.67,2.66,2.89,3.07,ICE
K000001193,고무 및 플라스틱 화학공학기술자 및 연구원,연구직 및 공학 기술직,2.77,3.2,2.43,2.31,2.72,3.04,ICR
